Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent	adapter_content	sequence_duplication_levels	kmer_content	per_base_sequence_quality	sequence_length_distribution	basic_statistics	per_sequence_gc_content	per_base_n_content	per_base_sequence_content	overrepresented_sequences	total_deduplicated_percentage	per_tile_sequence_quality	per_sequence_quality_scores	sequences_flagged_as_poor_quality	total_sequences	GC	experiment	pool_H12	index_cell	cell	patient	number_batch	depletion_batch
PT089_P1_B01	PT089_P1_B01	83.66	177144	1306	1.16	1.29	10.8	75.03	0	0.29	76	77	436	174694	2715640	3232	0	0	3246199	8438	0	0.26	5.19	168408	1067	350481	0.1	pass,pass	fail,warn	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	47.8933893607	pass,pass	pass,pass	0	6492398	46	Exp1	0	13	PT089_P1_B01	PT089	B5	depleted_yes
PT089_P1_B02	PT089_P1_B02	83.87	152769	619	1.19	1.24	10.89	74.93	0	0.25	76	102	0	151014	2171479	1137	0	0	2589091	6733	0	0.26	4.93	127740	1034	282002	0.04	pass,pass	fail,fail	fail,warn	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	37.82530827075	pass,pass	pass,pass	0	5178182	43	Exp1	0	14	PT089_P1_B02	PT089	B5	depleted_yes
PT089_P1_B03	PT089_P1_B03	81.24	221325	1175	1.25	1.33	14.55	74.79	0	0.29	76	279	0	218420	2401907	781	0	0	2956668	6505	0	0.22	3.97	117288	1451	430187	0.03	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	42.0254530289	pass,pass	pass,pass	0	5913336	47.5	Exp1	0	15	PT089_P1_B03	PT089	B5	depleted_yes
PT089_P1_B04	PT089_P1_B04	80.5	166934	1028	1.16	1.22	12.82	74.91	0	0.28	76	57	96	164751	2268779	1365	0	0	2818246	7046	0	0.25	6.38	179716	1098	361340	0.05	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	42.10761131145	pass,pass	pass,pass	0	5636492	45	Exp1	0	16	PT089_P1_B04	PT089	B5	depleted_yes
PT089_P1_B05	PT089_P1_B05	58.71	1820	50	1.2	1.93	35.9	74.96	0	0.26	76	7	0	1755	46199	8	0	0	78693	173	0	0.22	5.16	4059	8	28254	0.01	pass,pass	warn,warn	fail,warn	pass,pass	pass,pass	pass,pass	fail,fail	pass,pass	fail,fail	fail,fail	54.3745949449	warn,fail	pass,pass	0	157386	41	Exp1	0	17	PT089_P1_B05	PT089	B5	depleted_yes
PT089_P1_B06	PT089_P1_B06	76.57	120547	818	1.19	1.32	17.65	74.88	0	0.27	76	15	484	118826	1731561	1189	0	0	2261293	6329	0	0.28	5.45	123250	888	398964	0.05	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	38.653586741	pass,pass	pass,pass	0	4522586	44	Exp1	0	18	PT089_P1_B06	PT089	B5	depleted_yes
PT089_P1_B07	PT089_P1_B07	78.1	138316	1293	1.16	1.32	16.01	75.05	0	0.26	76	143	170	136181	2248360	2489	0	0	2878822	12092	0	0.42	5.38	154948	699	460933	0.09	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	38.68379169825	pass,pass	pass,pass	0	5757644	45	Exp1	0	19	PT089_P1_B07	PT089	B5	depleted_yes
PT089_P1_B08	PT089_P1_B08	85.55	222880	1324	1.18	1.3	8.97	74.88	0	0.28	76	168	160	220040	2735658	2006	0	0	3197712	7040	0	0.22	5.19	165983	1348	287025	0.06	pass,pass	warn,warn	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	56.3236310021	pass,pass	pass,pass	0	6395424	46	Exp1	0	20	PT089_P1_B08	PT089	B5	depleted_yes
PT089_P1_B09	PT089_P1_B09	74.41	93949	499	1.34	1.28	21.95	74.77	0	0.26	76	81	0	92921	1122302	569	0	0	1508358	3469	0	0.23	3.38	51000	448	331018	0.04	pass,pass	fail,fail	fail,warn	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	warn,fail	fail,warn	31.70718808685	pass,pass	pass,pass	0	3016716	44	Exp1	0	21	PT089_P1_B09	PT089	B5	depleted_yes
PT089_P1_B10	PT089_P1_B10	14.12	52	3	1	1.29	83.47	74.88	0.02	0.28	76	0	0	29	63241	292	0	0	447918	134	0	0.03	2.31	10334	20	373917	0.07	pass,pass	fail,fail	warn,warn	pass,pass	pass,pass	pass,pass	fail,fail	pass,pass	fail,fail	fail,fail	18.23860617345	warn,pass	pass,pass	0	895836	48	Exp1	0	22	PT089_P1_B10	PT089	B5	depleted_yes
PT089_P1_B11	PT089_P1_B11	76.26	92158	510	1.19	1.26	17.98	75.02	0	0.26	76	65	0	90836	1590998	1005	0	0	2086391	9183	0	0.44	5.27	109967	747	375238	0.05	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	39.08246490775	pass,pass	pass,pass	0	4172782	44	Exp1	0	23	PT089_P1_B11	PT089	B5	depleted_yes
PT089_P1_B12	PT089_P1_B12	79.3	166743	1260	1.2	1.34	14.24	75.03	0	0.3	76	176	24	164217	2415012	3061	0	0	3045289	5481	0	0.18	6.18	188165	1090	433570	0.1	pass,pass	fail,warn	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	warn,fail	warn,warn	51.2807405703	pass,pass	pass,pass	0	6090578	45	Exp1	0	24	PT089_P1_B12	PT089	B5	depleted_yes
PT089_P1_C01	PT089_P1_C01	75.17	100547	414	1.24	1.24	18.74	74.97	0	0.28	76	16	200	99611	1616408	1270	0	0	2150428	9031	0	0.42	5.62	120784	506	402935	0.06	pass,pass	fail,fail	fail,fail	pass,pass	pass,pass	pass,pass	pass,pass	pass,pass	fail,fail	warn,warn	36.4320318899	pass,pass	pass,pass	0	4300856	44	Exp1	0	25	PT089_P1_C01	PT089	B5	depleted_yes
