gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
LRRC15	DOWN	35	basal_like_1	PTCH1	DOWN	30	basal_like_2	CRTAM	UP	38	immunomodulatory	GALNT6	DOWN	45	mesenchymal	METTL7A	UP	22	mesenchymal_stem_like	NCRNA00084	UP	24	luminal_ar
CPA3	DOWN	39	basal_like_1	TTYH1	DOWN	38	basal_like_2	SLAMF8	UP	59	immunomodulatory	SP140	DOWN	39	mesenchymal	DKFZP564O0823	UP	13	mesenchymal_stem_like	SLC46A3	UP	26	luminal_ar
CPD	DOWN	37	basal_like_1	NDRG2	DOWN	32	basal_like_2	ARNTL2	UP	39	immunomodulatory	USP18	DOWN	49	mesenchymal	MXRA5	UP	19	mesenchymal_stem_like	SIGLEC15	UP	32	luminal_ar
CPE	DOWN	37	basal_like_1	PTH2R	DOWN	32	basal_like_2	PSMB8	UP	63	immunomodulatory	CKMT1B	DOWN	40	mesenchymal	ABI3BP	UP	13	mesenchymal_stem_like	MKNK2	UP	35	luminal_ar
CSN3	DOWN	34	basal_like_1	KIAA1324	DOWN	30	basal_like_2	PSMB9	UP	68	immunomodulatory	FAM129A	DOWN	39	mesenchymal	DKFZP586H2123	UP	13	mesenchymal_stem_like	GPX4	UP	26	luminal_ar
VCAN	DOWN	34	basal_like_1	PTX3	DOWN	36	basal_like_2	PSMB10	UP	54	immunomodulatory	CLIC2	DOWN	42	mesenchymal	IFFO1	UP	17	mesenchymal_stem_like	TMPRSS11E	UP	22	luminal_ar
CST3	DOWN	34	basal_like_1	PLEKHB1	DOWN	43	basal_like_2	PSME1	UP	51	immunomodulatory	CCR1	DOWN	42	mesenchymal	OLFML2B	UP	17	mesenchymal_stem_like	C20orf30	UP	23	luminal_ar
CST6	DOWN	44	basal_like_1	BCL2A1	DOWN	28	basal_like_2	PSME2	UP	62	immunomodulatory	CCR2	DOWN	58	mesenchymal	SFRS18	UP	14	mesenchymal_stem_like	ORMDL2	UP	27	luminal_ar
CSTA	DOWN	43	basal_like_1	TNFRSF17	DOWN	31	basal_like_2	PTGDS	UP	43	immunomodulatory	CCR5	DOWN	39	mesenchymal	KANK2	UP	19	mesenchymal_stem_like	SLC25A4	UP	22	luminal_ar
CTAG1B	DOWN	40	basal_like_1	RYR1	DOWN	28	basal_like_2	PTGER4	UP	43	immunomodulatory	CCR7	DOWN	50	mesenchymal	GPR124	UP	17	mesenchymal_stem_like	DNAJC15	UP	29	luminal_ar
ADRA2A	DOWN	42	basal_like_1	S100A1	DOWN	40	basal_like_2	S100A14	UP	36	immunomodulatory	ADH1B	DOWN	37	mesenchymal	KRT23	UP	14	mesenchymal_stem_like	FHOD1	UP	36	luminal_ar
CX3CR1	DOWN	42	basal_like_1	S100B	DOWN	35	basal_like_2	PTPN6	UP	49	immunomodulatory	RNF19B	DOWN	39	mesenchymal	SNED1	UP	21	mesenchymal_stem_like	MYLIP	UP	29	luminal_ar
CYB5A	DOWN	43	basal_like_1	SAA2	DOWN	30	basal_like_2	PTPN7	UP	53	immunomodulatory	SLC31A2	DOWN	40	mesenchymal	CLIP3	UP	17	mesenchymal_stem_like	GRP	UP	22	luminal_ar
CYP1B1	DOWN	42	basal_like_1	CCL19	DOWN	32	basal_like_2	SLAMF7	UP	54	immunomodulatory	CREBL2	DOWN	41	mesenchymal	ODZ4	UP	16	mesenchymal_stem_like	PDIA3	UP	22	luminal_ar
DCN	DOWN	36	basal_like_1	SFRP1	DOWN	32	basal_like_2	PTPRC	UP	66	immunomodulatory	CSF2RB	DOWN	57	mesenchymal	LRIG1	UP	13	mesenchymal_stem_like	GSR	UP	31	luminal_ar
AKR1C1	DOWN	54	basal_like_1	TMPRSS3	DOWN	28	basal_like_2	PTPRCAP	UP	51	immunomodulatory	CSN3	DOWN	40	mesenchymal	SETBP1	UP	22	mesenchymal_stem_like	GSS	UP	27	luminal_ar
AKR1C2	DOWN	50	basal_like_1	ST8SIA1	DOWN	33	basal_like_2	SQRDL	UP	40	immunomodulatory	CST6	DOWN	47	mesenchymal	PPP1R16B	UP	15	mesenchymal_stem_like	GSTM3	UP	22	luminal_ar
AEBP1	DOWN	36	basal_like_1	SIX3	DOWN	33	basal_like_2	RAC2	UP	57	immunomodulatory	CSTA	DOWN	50	mesenchymal	TOR1AIP1	UP	13	mesenchymal_stem_like	GSTZ1	UP	31	luminal_ar
DEFB1	DOWN	35	basal_like_1	SLC1A4	DOWN	32	basal_like_2	RARRES1	UP	46	immunomodulatory	CTAG1B	DOWN	43	mesenchymal	CCDC69	UP	20	mesenchymal_stem_like	GUCY1A3	UP	22	luminal_ar
COCH	DOWN	35	basal_like_1	LOC652493	DOWN	33	basal_like_2	RARRES3	UP	63	immunomodulatory	CTSS	DOWN	58	mesenchymal	WSB1	UP	15	mesenchymal_stem_like	ALG5	UP	26	luminal_ar
DMD	DOWN	35	basal_like_1	ZBTB10	DOWN	31	basal_like_2	RB1	UP	38	immunomodulatory	CYB5A	DOWN	41	mesenchymal	ZBTB20	UP	20	mesenchymal_stem_like	GUSB	UP	33	luminal_ar
SLC26A3	DOWN	38	basal_like_1	KCTD14	DOWN	33	basal_like_2	BCL2A1	UP	51	immunomodulatory	CYBB	DOWN	53	mesenchymal	LRRC32	UP	21	mesenchymal_stem_like	HIG2	UP	33	luminal_ar
DSC3	DOWN	41	basal_like_1	SOX10	DOWN	39	basal_like_2	RELB	UP	39	immunomodulatory	CYP1B1	DOWN	46	mesenchymal	GAS1	UP	22	mesenchymal_stem_like	GMPPB	UP	26	luminal_ar
DSG1	DOWN	34	basal_like_1	SPIB	DOWN	28	basal_like_2	RFX5	UP	47	immunomodulatory	CYP2J2	DOWN	44	mesenchymal	GAS6	UP	21	mesenchymal_stem_like	GMPPA	UP	26	luminal_ar
DSG3	DOWN	39	basal_like_1	TRGC2	DOWN	28	basal_like_2	RGS1	UP	48	immunomodulatory	CYP4B1	DOWN	38	mesenchymal	FBXL5	UP	20	mesenchymal_stem_like	ACAA1	UP	32	luminal_ar
DUSP1	DOWN	35	basal_like_1	TRGV9	DOWN	28	basal_like_2	RGS10	UP	40	immunomodulatory	DEFB1	DOWN	54	mesenchymal	KLHL3	UP	18	mesenchymal_stem_like	ERO1L	UP	26	luminal_ar
DUSP4	DOWN	48	basal_like_1	TFAP2B	DOWN	32	basal_like_2	BCL3	UP	43	immunomodulatory	COCH	DOWN	37	mesenchymal	HSPB8	UP	14	mesenchymal_stem_like	HIST1H1C	UP	31	luminal_ar
DUSP6	DOWN	37	basal_like_1	NR2F2	DOWN	29	basal_like_2	RNASE1	UP	36	immunomodulatory	DHCR24	DOWN	39	mesenchymal	MYOF	UP	13	mesenchymal_stem_like	HIST1H2AE	UP	27	luminal_ar
LPAR1	DOWN	36	basal_like_1	TGFBR3	DOWN	34	basal_like_2	RNASE6	UP	55	immunomodulatory	DOCK2	DOWN	51	mesenchymal	CKAP2	UP	15	mesenchymal_stem_like	HIST1H2AD	UP	23	luminal_ar
EFNB2	DOWN	41	basal_like_1	TSPAN8	DOWN	34	basal_like_2	TRMT11	UP	40	immunomodulatory	DPT	DOWN	39	mesenchymal	GEM	UP	25	mesenchymal_stem_like	HIST1H2BD	UP	22	luminal_ar
EGFR	DOWN	38	basal_like_1	ACTG2	DOWN	35	basal_like_2	APOBEC3G	UP	65	immunomodulatory	DPYD	DOWN	45	mesenchymal	GGT5	UP	22	mesenchymal_stem_like	HADH	UP	22	luminal_ar
EGR1	DOWN	36	basal_like_1	TRPS1	DOWN	28	basal_like_2	TNFRSF17	UP	44	immunomodulatory	DUSP4	DOWN	42	mesenchymal	STEAP1	UP	19	mesenchymal_stem_like	ANXA4	UP	32	luminal_ar
AHR	DOWN	36	basal_like_1	MUC5B	DOWN	33	basal_like_2	S100A8	UP	42	immunomodulatory	DUSP5	DOWN	48	mesenchymal	GHR	UP	19	mesenchymal_stem_like	HGD	UP	38	luminal_ar
EGR3	DOWN	38	basal_like_1	RP11-345P4.4	DOWN	28	basal_like_2	CFB	UP	57	immunomodulatory	GPR183	DOWN	37	mesenchymal	NBEA	UP	16	mesenchymal_stem_like	ACACA	UP	36	luminal_ar
ELN	DOWN	36	basal_like_1	LOC730101	DOWN	31	basal_like_2	CCL2	UP	46	immunomodulatory	TYMP	DOWN	39	mesenchymal	GJA1	UP	17	mesenchymal_stem_like	MNX1	UP	22	luminal_ar
EPS8	DOWN	35	basal_like_1	UCHL1	DOWN	29	basal_like_2	CCL3	UP	38	immunomodulatory	EIF5A	DOWN	39	mesenchymal	CYFIP2	UP	14	mesenchymal_stem_like	HLA-DQA1	UP	25	luminal_ar
ESRRG	DOWN	37	basal_like_1	UGT8	DOWN	33	basal_like_2	CCL4	UP	56	immunomodulatory	AIF1	DOWN	38	mesenchymal	GJA4	UP	14	mesenchymal_stem_like	HLCS	UP	22	luminal_ar
ALCAM	DOWN	44	basal_like_1	XBP1	DOWN	28	basal_like_2	CCL5	UP	67	immunomodulatory	APOBEC3A	DOWN	54	mesenchymal	TPK1	UP	17	mesenchymal_stem_like	HMGCR	UP	32	luminal_ar
F3	DOWN	38	basal_like_1	CA8	DOWN	32	basal_like_2	CCL8	UP	53	immunomodulatory	C9orf91	DOWN	47	mesenchymal	DKK3	UP	17	mesenchymal_stem_like	HMGCS2	UP	37	luminal_ar
FABP4	DOWN	42	basal_like_1	ZBTB16	DOWN	30	basal_like_2	CCL18	UP	37	immunomodulatory	EVI2A	DOWN	46	mesenchymal	DKK2	UP	14	mesenchymal_stem_like	HMOX2	UP	23	luminal_ar
ZCCHC24	DOWN	39	basal_like_1	CXCR4	DOWN	28	basal_like_2	CCL19	UP	53	immunomodulatory	EVI2B	DOWN	54	mesenchymal	GPC3	UP	15	mesenchymal_stem_like	FOXA1	UP	44	luminal_ar
FBN1	DOWN	42	basal_like_1	C1orf116	DOWN	28	basal_like_2	CXCL11	UP	61	immunomodulatory	ALDH1A1	DOWN	48	mesenchymal	TNFRSF21	UP	13	mesenchymal_stem_like	HNMT	UP	28	luminal_ar
FBN2	DOWN	40	basal_like_1	CLMN	DOWN	29	basal_like_2	XCL1	UP	46	immunomodulatory	ALDH2	DOWN	42	mesenchymal	SESN1	UP	21	mesenchymal_stem_like	HOXB2	UP	33	luminal_ar
EFEMP1	DOWN	36	basal_like_1	VASH2	DOWN	29	basal_like_2	CX3CL1	UP	41	immunomodulatory	FASN	DOWN	38	mesenchymal	PDCD4	UP	16	mesenchymal_stem_like	HOXC6	UP	27	luminal_ar
FCER1A	DOWN	43	basal_like_1	C10orf81	DOWN	28	basal_like_2	GPSM3	UP	37	immunomodulatory	FBP1	DOWN	42	mesenchymal	KLHL20	UP	14	mesenchymal_stem_like	HOXC10	UP	37	luminal_ar
ALDH3B2	DOWN	51	basal_like_1	EFHD1	DOWN	31	basal_like_2	SECTM1	UP	41	immunomodulatory	FCER1G	DOWN	46	mesenchymal	SRPX2	UP	20	mesenchymal_stem_like	HOXC11	UP	26	luminal_ar
FHL1	DOWN	37	basal_like_1	FAM117A	DOWN	28	basal_like_2	SELL	UP	57	immunomodulatory	FCGR1A	DOWN	37	mesenchymal	PDLIM3	UP	13	mesenchymal_stem_like	APBB2	UP	31	luminal_ar
NID2	DOWN	34	basal_like_1	AKAP1	DOWN	29	basal_like_2	SELPLG	UP	51	immunomodulatory	FCGR1B	DOWN	42	mesenchymal	RBMS3	UP	20	mesenchymal_stem_like	HPCAL1	UP	24	luminal_ar
FKBP1B	DOWN	35	basal_like_1	MIA	DOWN	34	basal_like_2	SAMSN1	UP	62	immunomodulatory	FCGR2B	DOWN	43	mesenchymal	GLI3	UP	14	mesenchymal_stem_like	HPD	UP	25	luminal_ar
FKBP5	DOWN	35	basal_like_1	CAPN6	DOWN	36	basal_like_2	RTP4	UP	55	immunomodulatory	FCGR3B	DOWN	45	mesenchymal	BIN1	UP	14	mesenchymal_stem_like	HPGD	UP	33	luminal_ar
DKK1	DOWN	41	basal_like_1	HIST2H2AA3	DOWN	28	basal_like_2	IFIH1	UP	63	immunomodulatory	ALDH3B2	DOWN	54	mesenchymal	GNAQ	UP	18	mesenchymal_stem_like	HPX	UP	23	luminal_ar
PDZD2	DOWN	35	basal_like_1	HIST1H2BG	DOWN	29	basal_like_2	ERAP2	UP	46	immunomodulatory	TFEC	DOWN	57	mesenchymal	GNG11	UP	25	mesenchymal_stem_like	APEH	UP	32	luminal_ar
TNIK	DOWN	43	basal_like_1	HIST1H2BC	DOWN	29	basal_like_2	MS4A6A	UP	54	immunomodulatory	FKBP5	DOWN	42	mesenchymal	GNS	UP	17	mesenchymal_stem_like	HSD17B2	UP	31	luminal_ar
ZNF423	DOWN	34	basal_like_1	HIST1H4H	DOWN	36	basal_like_2	CLEC7A	UP	55	immunomodulatory	DKK1	DOWN	40	mesenchymal	ANG	UP	19	mesenchymal_stem_like	HSD17B4	UP	23	luminal_ar
GPD1L	DOWN	41	basal_like_1	C12orf32	DOWN	28	basal_like_2	TMPRSS3	UP	40	immunomodulatory	TTC39A	DOWN	40	mesenchymal	OLFML1	UP	20	mesenchymal_stem_like	ACADL	UP	24	luminal_ar
DTX4	DOWN	35	basal_like_1	IQCG	DOWN	28	basal_like_2	PARP12	UP	55	immunomodulatory	EPB41L3	DOWN	40	mesenchymal	SLC46A3	UP	16	mesenchymal_stem_like	HSPA2	UP	27	luminal_ar
LPHN2	DOWN	43	basal_like_1	SORBS2	DOWN	32	basal_like_2	SLA	UP	55	immunomodulatory	6-Sep	DOWN	43	mesenchymal	GOLGA9P	UP	15	mesenchymal_stem_like	HSPB1	UP	36	luminal_ar
FMO5	DOWN	37	basal_like_1	RNFT2	DOWN	29	basal_like_2	SLAMF1	UP	48	immunomodulatory	TBC1D9	DOWN	38	mesenchymal	GPR18	UP	13	mesenchymal_stem_like	PPM1J	UP	29	luminal_ar
FMOD	DOWN	36	basal_like_1	LMO4	DOWN	29	basal_like_2	NADK	UP	38	immunomodulatory	GPD1L	DOWN	41	mesenchymal	PTRF	UP	22	mesenchymal_stem_like	APLP2	UP	28	luminal_ar
PSD3	DOWN	34	basal_like_1	KCNK5	DOWN	33	basal_like_2	LOC652493	UP	57	immunomodulatory	KIAA0746	DOWN	37	mesenchymal	GRK5	UP	17	mesenchymal_stem_like	ICA1	UP	29	luminal_ar
ZFPM2	DOWN	38	basal_like_1	IRS2	DOWN	28	basal_like_2	NCF1	UP	53	immunomodulatory	PHF15	DOWN	38	mesenchymal	ANK2	UP	22	mesenchymal_stem_like	ICAM3	UP	24	luminal_ar
HEY1	DOWN	39	basal_like_1	MARCO	DOWN	28	basal_like_2	NCF1B	UP	50	immunomodulatory	TDRD7	DOWN	43	mesenchymal	TRAC	UP	15	mesenchymal_stem_like	FAM5C	UP	36	luminal_ar
FOS	DOWN	43	basal_like_1	CBS	DOWN	28	basal_like_2	SIGLEC1	UP	48	immunomodulatory	QPRT	DOWN	37	mesenchymal	GPX1	UP	14	mesenchymal_stem_like	ACADM	UP	32	luminal_ar
RAB38	DOWN	38	basal_like_1	DLK1	DOWN	34	basal_like_2	SOD2	UP	48	immunomodulatory	HMHA1	DOWN	39	mesenchymal	GPX3	UP	19	mesenchymal_stem_like	IDE	UP	28	luminal_ar
FLRT3	DOWN	37	basal_like_1	SGCE	DOWN	31	basal_like_2	SP100	UP	51	immunomodulatory	DDX58	DOWN	50	mesenchymal	IGLJ3	UP	17	mesenchymal_stem_like	IDH1	UP	40	luminal_ar
FLRT2	DOWN	40	basal_like_1	CLDN10	DOWN	29	basal_like_2	SPI1	UP	38	immunomodulatory	FPR3	DOWN	37	mesenchymal	IGKV1D-13	UP	16	mesenchymal_stem_like	IDH2	UP	29	luminal_ar
ANXA8L2	DOWN	38	basal_like_1	TDRD12	DOWN	31	basal_like_2	SPIB	UP	39	immunomodulatory	LY96	DOWN	45	mesenchymal	IGKV4-1	UP	16	mesenchymal_stem_like	IDI1	UP	27	luminal_ar
ALOX15B	DOWN	44	basal_like_1	BZRAP1	DOWN	28	basal_like_2	STAT1	UP	66	immunomodulatory	ALOX5	DOWN	46	mesenchymal	TMEM176B	UP	16	mesenchymal_stem_like	APOD	UP	41	luminal_ar
FRZB	DOWN	34	basal_like_1	MS4A1	DOWN	28	basal_like_2	STAT4	UP	48	immunomodulatory	ALOX5AP	DOWN	37	mesenchymal	OSTM1	UP	15	mesenchymal_stem_like	IGBP1	UP	34	luminal_ar
SERHL2	DOWN	48	basal_like_1	ADIPOQ	DOWN	30	basal_like_2	BST2	UP	59	immunomodulatory	IFIT5	DOWN	43	mesenchymal	C13orf15	UP	19	mesenchymal_stem_like	IGHG3	UP	25	luminal_ar
DARC	DOWN	40	basal_like_1	MUC16	DOWN	33	basal_like_2	XCL2	UP	53	immunomodulatory	ALOX15B	DOWN	38	mesenchymal	C20orf30	UP	13	mesenchymal_stem_like	IGJ	UP	22	luminal_ar
GABRE	DOWN	40	basal_like_1	C9orf61	DOWN	28	basal_like_2	SYK	UP	36	immunomodulatory	SERHL2	DOWN	44	mesenchymal	NR3C1	UP	20	mesenchymal_stem_like	IL1R1	UP	24	luminal_ar
QPCT	DOWN	34	basal_like_1	CHST2	DOWN	38	basal_like_2	TAP1	UP	69	immunomodulatory	FYB	DOWN	45	mesenchymal	THYN1	UP	14	mesenchymal_stem_like	IL13RA1	UP	33	luminal_ar
SPDEF	DOWN	35	basal_like_1	SCARB1	DOWN	30	basal_like_2	TAP2	UP	50	immunomodulatory	IFI6	DOWN	43	mesenchymal	RANGRF	UP	13	mesenchymal_stem_like	ACADSB	UP	22	luminal_ar
DKFZP564O0823	DOWN	34	basal_like_1	GABBR2	DOWN	38	basal_like_2	TAPBP	UP	51	immunomodulatory	G6PD	DOWN	39	mesenchymal	MYLIP	UP	14	mesenchymal_stem_like	AQP3	UP	30	luminal_ar
MOXD1	DOWN	38	basal_like_1	NFE2L3	DOWN	28	basal_like_2	BTK	UP	38	immunomodulatory	GABRE	DOWN	41	mesenchymal	CXCL2	UP	15	mesenchymal_stem_like	ING2	UP	24	luminal_ar
ABCA12	DOWN	35	basal_like_1	CD79A	DOWN	29	basal_like_2	TRA@	UP	53	immunomodulatory	TNFAIP8	DOWN	56	mesenchymal	GSN	UP	18	mesenchymal_stem_like	INHBB	UP	37	luminal_ar
GAS6	DOWN	38	basal_like_1	TOX	DOWN	32	basal_like_2	TRD@	UP	52	immunomodulatory	SGMS1	DOWN	37	mesenchymal	GSTM2	UP	13	mesenchymal_stem_like	IPW	UP	26	luminal_ar
GEM	DOWN	34	basal_like_1	MFAP3L	DOWN	30	basal_like_2	TRGC2	UP	56	immunomodulatory	SAMHD1	DOWN	42	mesenchymal	GSTM3	UP	13	mesenchymal_stem_like	AR	UP	42	luminal_ar
STEAP1	DOWN	46	basal_like_1					TRGV9	UP	53	immunomodulatory	EGFL6	DOWN	52	mesenchymal	GSTT1	UP	16	mesenchymal_stem_like	ABCC6	UP	26	luminal_ar
GHR	DOWN	41	basal_like_1					TGM2	UP	37	immunomodulatory	ABCA12	DOWN	37	mesenchymal	CARD10	UP	14	mesenchymal_stem_like	ITGAV	UP	22	luminal_ar
GJA1	DOWN	38	basal_like_1					TLE4	UP	38	immunomodulatory	GATA3	DOWN	46	mesenchymal	GUCY1A3	UP	15	mesenchymal_stem_like	ITGB5	UP	22	luminal_ar
LYPD3	DOWN	35	basal_like_1					TLR1	UP	48	immunomodulatory	EHF	DOWN	38	mesenchymal	GUCY1B3	UP	15	mesenchymal_stem_like	ITPR1	UP	24	luminal_ar
TOX3	DOWN	41	basal_like_1					TLR2	UP	44	immunomodulatory	GBP1	DOWN	55	mesenchymal	GPR171	UP	13	mesenchymal_stem_like	ITPR3	UP	24	luminal_ar
AMY1A	DOWN	40	basal_like_1					SERPING1	UP	47	immunomodulatory	GBP2	DOWN	55	mesenchymal	LOH3CR2A	UP	14	mesenchymal_stem_like	NDUFS7	UP	26	luminal_ar
CDH19	DOWN	45	basal_like_1					C1QA	UP	60	immunomodulatory	GCH1	DOWN	51	mesenchymal	DSE	UP	15	mesenchymal_stem_like	RAB15	UP	22	luminal_ar
CXCL2	DOWN	40	basal_like_1					TNFAIP2	UP	54	immunomodulatory	CKAP2	DOWN	57	mesenchymal	GYPC	UP	17	mesenchymal_stem_like	KCNK1	UP	27	luminal_ar
GUCY1A3	DOWN	39	basal_like_1					TNFAIP3	UP	51	immunomodulatory	GGT1	DOWN	42	mesenchymal	MDFIC	UP	15	mesenchymal_stem_like	KCNMA1	UP	39	luminal_ar
GUCY1B3	DOWN	35	basal_like_1					C1QB	UP	60	immunomodulatory	STEAP1	DOWN	42	mesenchymal	BAZ2B	UP	16	mesenchymal_stem_like	KCNS3	UP	28	luminal_ar
HLA-DQA1	DOWN	37	basal_like_1					TNFRSF1B	UP	53	immunomodulatory	LAMP3	DOWN	53	mesenchymal	LMCD1	UP	18	mesenchymal_stem_like	KPNA1	UP	23	luminal_ar
HMGCS2	DOWN	40	basal_like_1					C1R	UP	41	immunomodulatory	TJP3	DOWN	38	mesenchymal	GLTSCR2	UP	14	mesenchymal_stem_like	KRT7	UP	37	luminal_ar
FOXA1	DOWN	53	basal_like_1					C1S	UP	49	immunomodulatory	ADAMDEC1	DOWN	61	mesenchymal	EFEMP2	UP	22	mesenchymal_stem_like	KRT8	UP	29	luminal_ar
ACACB	DOWN	34	basal_like_1					C2	UP	47	immunomodulatory	TOX3	DOWN	39	mesenchymal	GZMA	UP	13	mesenchymal_stem_like	KRT10	UP	22	luminal_ar
HOXA5	DOWN	34	basal_like_1					C3	UP	44	immunomodulatory	GLRX	DOWN	37	mesenchymal	GZMK	UP	16	mesenchymal_stem_like	KRT18	UP	44	luminal_ar
HOXA9	DOWN	41	basal_like_1					C3AR1	UP	47	immunomodulatory	GLUL	DOWN	45	mesenchymal	ANXA1	UP	21	mesenchymal_stem_like	RHOB	UP	36	luminal_ar
HOXA10	DOWN	35	basal_like_1					C4A	UP	36	immunomodulatory	AMY1A	DOWN	37	mesenchymal	HBA1	UP	21	mesenchymal_stem_like	KRT19	UP	38	luminal_ar
HOXB2	DOWN	37	basal_like_1					C4B	UP	39	immunomodulatory	GM2A	DOWN	37	mesenchymal	HBB	UP	20	mesenchymal_stem_like	FAM69A	UP	24	luminal_ar
HPGD	DOWN	52	basal_like_1					TYROBP	UP	53	immunomodulatory	GNAS	DOWN	38	mesenchymal	HCLS1	UP	18	mesenchymal_stem_like	LAMP2	UP	22	luminal_ar
HSD17B2	DOWN	34	basal_like_1					UBA7	UP	45	immunomodulatory	IGHV4-31	DOWN	61	mesenchymal	NCKAP1L	UP	15	mesenchymal_stem_like	LASP1	UP	23	luminal_ar
FAM5C	DOWN	47	basal_like_1					VAV1	UP	43	immunomodulatory	GPR18	DOWN	43	mesenchymal	CFH	UP	25	mesenchymal_stem_like	LBP	UP	31	luminal_ar
ID1	DOWN	51	basal_like_1					VCAM1	UP	56	immunomodulatory	MKNK2	DOWN	41	mesenchymal	CFHR1	UP	22	mesenchymal_stem_like	LGALS8	UP	30	luminal_ar
ID3	DOWN	39	basal_like_1					WARS	UP	62	immunomodulatory	TRAC	DOWN	49	mesenchymal	HGF	UP	14	mesenchymal_stem_like	RHOH	UP	27	luminal_ar
CFI	DOWN	37	basal_like_1					WIPF1	UP	52	immunomodulatory	IGLV4-60	DOWN	39	mesenchymal	CD209	UP	13	mesenchymal_stem_like	MEX3D	UP	22	luminal_ar
APOD	DOWN	40	basal_like_1					LAT2	UP	48	immunomodulatory	IGLV3-19	DOWN	48	mesenchymal	EHD3	UP	15	mesenchymal_stem_like	ARL1	UP	27	luminal_ar
TUBB2B	DOWN	34	basal_like_1					ZAP70	UP	46	immunomodulatory	IGLJ3	DOWN	48	mesenchymal	EHD2	UP	13	mesenchymal_stem_like	FAM174B	UP	38	luminal_ar
IGF1	DOWN	39	basal_like_1					ZIC1	UP	36	immunomodulatory	IGKV1D-13	DOWN	54	mesenchymal	HHEX	UP	19	mesenchymal_stem_like	VWA5A	UP	23	luminal_ar
AMIGO2	DOWN	41	basal_like_1					LAPTM5	UP	55	immunomodulatory	IGKV4-1	DOWN	57	mesenchymal	ANXA6	UP	17	mesenchymal_stem_like	LTF	UP	32	luminal_ar
IGF2	DOWN	39	basal_like_1					BTG2	UP	40	immunomodulatory	PYCARD	DOWN	47	mesenchymal	HLA-DMA	UP	18	mesenchymal_stem_like	LUM	UP	23	luminal_ar
IGFBP4	DOWN	37	basal_like_1					CXCR4	UP	39	immunomodulatory	CXCL1	DOWN	38	mesenchymal	HLA-DMB	UP	16	mesenchymal_stem_like	MARCKS	UP	22	luminal_ar
IL1R1	DOWN	37	basal_like_1					PVRIG	UP	46	immunomodulatory	CXCL2	DOWN	41	mesenchymal	ANXA11	UP	15	mesenchymal_stem_like	ARSA	UP	25	luminal_ar
INHBA	DOWN	38	basal_like_1					EFHD2	UP	36	immunomodulatory	BLNK	DOWN	52	mesenchymal	HLA-DPA1	UP	18	mesenchymal_stem_like	MAOA	UP	32	luminal_ar
INHBB	DOWN	41	basal_like_1					LST1	UP	49	immunomodulatory	SNX10	DOWN	50	mesenchymal	HLA-DPB1	UP	19	mesenchymal_stem_like	MAPT	UP	28	luminal_ar
AR	DOWN	49	basal_like_1					PLA2G7	UP	44	immunomodulatory	GPR171	DOWN	43	mesenchymal	HLA-DQA1	UP	17	mesenchymal_stem_like	MAT2A	UP	28	luminal_ar
ITGB5	DOWN	35	basal_like_1					ZBED2	UP	41	immunomodulatory	GZMH	DOWN	40	mesenchymal	HLA-DQB1	UP	18	mesenchymal_stem_like	MB	UP	29	luminal_ar
ITGB6	DOWN	34	basal_like_1					RHBDF2	UP	45	immunomodulatory	GZMA	DOWN	57	mesenchymal	HLA-DRA	UP	17	mesenchymal_stem_like	CD46	UP	30	luminal_ar
KAL1	DOWN	38	basal_like_1					PARP8	UP	40	immunomodulatory	GZMB	DOWN	59	mesenchymal	HLA-DRB1	UP	15	mesenchymal_stem_like	DNAJB9	UP	24	luminal_ar
MAST4	DOWN	40	basal_like_1					TMEM149	UP	42	immunomodulatory	GZMK	DOWN	51	mesenchymal	HLA-DRB5	UP	15	mesenchymal_stem_like	ME1	UP	22	luminal_ar
KCNMA1	DOWN	34	basal_like_1					SLC25A22	UP	38	immunomodulatory	HCK	DOWN	47	mesenchymal	HLA-DRB6	UP	13	mesenchymal_stem_like	MEIS1	UP	24	luminal_ar
KRT5	DOWN	35	basal_like_1					VASH2	UP	42	immunomodulatory	HCLS1	DOWN	46	mesenchymal	HLA-E	UP	18	mesenchymal_stem_like	MAP3K5	UP	23	luminal_ar
KRT6A	DOWN	50	basal_like_1					DENND1C	UP	41	immunomodulatory	NCKAP1L	DOWN	38	mesenchymal	AOX1	UP	20	mesenchymal_stem_like	SCGB2A2	UP	27	luminal_ar
KRT14	DOWN	34	basal_like_1					DENND2D	UP	54	immunomodulatory	HLA-A	DOWN	38	mesenchymal	HNMT	UP	18	mesenchymal_stem_like	MGST2	UP	38	luminal_ar
C6orf120	DOWN	34	basal_like_1					C13orf18	UP	36	immunomodulatory	HLA-B	DOWN	37	mesenchymal	ACACB	UP	18	mesenchymal_stem_like	CD99	UP	32	luminal_ar
LAMA3	DOWN	36	basal_like_1					TRAF3IP3	UP	40	immunomodulatory	HLA-C	DOWN	39	mesenchymal	HOXA5	UP	16	mesenchymal_stem_like	ASAH1	UP	29	luminal_ar
LAMB3	DOWN	40	basal_like_1					APOL6	UP	47	immunomodulatory	HLA-DMA	DOWN	47	mesenchymal	HOXA9	UP	13	mesenchymal_stem_like	MIPEP	UP	22	luminal_ar
